Time	gauge_0	gauge_1	gauge_2
18.8182	-1e+15	0.0414175	8.61574e-07
18.8273	-1e+15	0.039898	1.1543e-06
18.8364	-1e+15	0.0383557	1.53657e-06
18.8455	-1e+15	0.0367966	2.04389e-06
18.8545	-1e+15	0.0352204	2.69784e-06
18.8631	-1e+15	0.0337155	3.61579e-06
18.8722	-1e+15	0.0320926	7.22029e-06
18.8814	-1e+15	0.0304587	1.34958e-05
18.8898	-1e+15	0.0289427	2.2262e-05
18.8983	-1e+15	0.027438	3.61113e-05
18.9068	-1e+15	0.0259496	5.567e-05
18.9153	-1e+15	0.0244742	8.14681e-05
18.9237	-1e+15	0.0230215	0.000114105
18.9322	-1e+15	0.0215838	0.000154659
18.9407	-1e+15	0.0201633	0.0002064
18.9492	-1e+15	0.018774	0.000273075
18.9576	-1e+15	0.0174096	0.000352635
18.9661	-1e+15	0.0160586	0.000444666
18.9746	-1e+15	0.0147094	0.000578902
18.9831	-1e+15	0.0133502	0.000773883
18.9915	-1e+15	0.0119817	0.00103459
19	-1e+15	0.0106095	0.0013624
19.0091	-1e+15	0.00914051	0.00178244
19.0178	-1e+15	0.00780643	0.0022541
19.0264	-1e+15	0.00655186	0.00280966
19.0356	-1e+15	0.00531643	0.00357095
19.0442	-1e+15	0.00421942	0.00454426
19.0529	-1e+15	0.003211	0.0057007
19.0615	-1e+15	0.0023184	0.00697975
19.0702	-1e+15	0.00167659	0.00832769
19.0788	-1e+15	0.00122521	0.0097235
19.0875	-1e+15	0.000903068	0.011154
19.0962	-1e+15	0.000665232	0.012602
19.1048	6.68073e-07	0.00048414	0.0140613
19.1135	9.28812e-07	0.000348842	0.0155335
19.1221	1.24068e-06	0.000247105	0.0170345
19.1308	1.607e-06	0.000169289	0.0185721
19.1394	2.032e-06	0.000114807	0.020145
19.1481	2.26453e-06	7.79067e-05	0.0217516
19.1567	-1e+15	5.30567e-05	0.0233846
19.1654	-1e+15	3.62663e-05	0.0250302
19.174	-1e+15	2.4886e-05	0.0266849
19.1827	5.94959e-06	1.71682e-05	0.0283508
19.1913	2.62474e-05	1.19477e-05	0.0300247
19.2	5.6383e-05	8.40928e-06	0.0316967
19.2087	9.41263e-05	5.98637e-06	0.0333626
19.2178	0.000137058	4.2528e-06	0.0350844
19.2269	0.000182271	3.07043e-06	0.0367857
19.236	0.000240808	2.25179e-06	0.0384713
19.2451	0.000363583	1.67519e-06	0.0401406
19.2542	0.000556947	1.26313e-06	0.0417796
19.2634	0.000836044	9.64436e-07	0.0433731
19.2725	0.00118428	7.44466e-07	0.0449114
19.2816	0.00157807	5.80484e-07	0.046397
19.29	0.00195986	-1e+15	0.0477292
19.2985	0.00236952	-1e+15	0.0490138
19.307	0.00284641	-1e+15	0.0502483
19.3154	0.00351121	-1e+15	0.0514241
19.3239	0.00434595	-1e+15	0.0525333
19.3323	0.00530682	-1e+15	0.0535685
19.3408	0.00634621	-1e+15	0.0545268
19.3492	0.00743245	-1e+15	0.0554085
19.3577	0.0085648	-1e+15	0.0562119
19.3662	0.00975835	-1e+15	0.0569369
19.3746	0.0110843	-1e+15	0.0575819
19.3831	0.0125146	-1e+15	0.0581483
19.3915	0.0140106	-1e+15	0.0586327
19.4	0.015546	-1e+15	0.059021
19.4087	0.0171628	-1e+15	0.0593074
19.4174	0.0188079	-1e+15	0.0594789
19.4261	0.0204736	-1e+15	0.0595575
19.4348	0.0221428	-1e+15	0.0595741
19.4435	0.0238163	-1e+15	0.0595226
